as_of_year,state_abbr,loan_purpose_name,loan_type_name,action_taken_name,count
2007,KY,Refinancing,VA-guaranteed,Application denied by financial institution,100
2007,KY,Refinancing,VA-guaranteed,Application approved but not accepted,16
2007,KY,Refinancing,FSA/RHS-guaranteed,Loan originated,3
2007,KY,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,4
2007,KY,Refinancing,FHA-insured,Loan originated,3067
2007,KY,Refinancing,FHA-insured,Application denied by financial institution,1720
2007,KY,Refinancing,FHA-insured,Application approved but not accepted,292
2007,KY,Refinancing,Conventional,Loan originated,49835
2007,KY,Refinancing,Conventional,Application denied by financial institution,42064
2007,KY,Refinancing,Conventional,Application approved but not accepted,10697
2007,KY,Home purchase,VA-guaranteed,Loan originated,2035
2007,LA,Refinancing,FSA/RHS-guaranteed,Loan originated,19
2007,LA,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,6
2007,LA,Refinancing,FHA-insured,Loan originated,1392
2007,LA,Refinancing,FHA-insured,Application denied by financial institution,766
2007,LA,Refinancing,FHA-insured,Application approved but not accepted,257
2007,LA,Refinancing,Conventional,Loan originated,50126
2007,LA,Refinancing,Conventional,Application denied by financial institution,35420
2007,LA,Refinancing,Conventional,Application approved but not accepted,10739
2007,LA,Home purchase,VA-guaranteed,Loan originated,1621
2007,LA,Home purchase,VA-guaranteed,Application denied by financial institution,261
2007,LA,Home purchase,VA-guaranteed,Application approved but not accepted,98
2007,LA,Home purchase,FSA/RHS-guaranteed,Loan originated,1665
2007,LA,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,387
2007,LA,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,27
2007,LA,Home purchase,FHA-insured,Loan originated,4084
2007,LA,Home purchase,FHA-insured,Application denied by financial institution,1180
2007,MA,Refinancing,Conventional,Application denied by financial institution,68839
2007,MA,Refinancing,Conventional,Application approved but not accepted,19037
2007,MA,Home purchase,VA-guaranteed,Loan originated,406
2007,MA,Home purchase,VA-guaranteed,Application denied by financial institution,43
2007,MA,Home purchase,VA-guaranteed,Application approved but not accepted,24
